user_id,matched_user_id,text_similarity,mbti_score,location_score,compatibility_score,action,timestamp
U002,U052,6.2,30.0,10.0,14.1,0,2025-02-15
U002,U048,4.37,30.0,10.0,13.18,0,2025-05-05
U002,U023,3.44,10.0,50.0,14.72,1,2025-03-17
U002,U030,21.78,55.0,10.0,29.39,0,2025-03-08
U002,U049,6.63,55.0,10.0,21.82,1,2025-02-10
U002,U007,7.05,30.0,10.0,14.52,1,2025-06-13
U002,U005,9.54,45.0,10.0,20.27,0,2025-06-19
U002,U009,2.52,55.0,10.0,19.76,1,2025-06-28
U002,U072,5.24,30.0,50.0,21.62,1,2025-06-10
U002,U046,12.31,45.0,10.0,21.66,1,2025-02-14
U002,U035,3.7,30.0,10.0,12.85,1,2025-06-02
U002,U073,12.24,45.0,10.0,21.62,1,2025-04-11
U002,U062,6.33,55.0,10.0,21.66,0,2025-04-05
U002,U070,6.08,45.0,10.0,18.54,0,2025-05-14
U002,U038,31.8,45.0,10.0,31.4,1,2025-07-08
U002,U058,21.7,55.0,10.0,29.35,1,2025-04-20
U002,U059,6.66,30.0,10.0,14.33,1,2025-04-27
U002,U045,5.25,30.0,50.0,21.63,0,2025-05-05
U003,U025,9.73,45.0,50.0,28.36,1,2025-02-02
U003,U057,37.35,45.0,10.0,34.17,1,2025-05-17
U003,U019,9.85,30.0,10.0,15.93,1,2025-05-13
U003,U071,7.91,45.0,10.0,19.45,0,2025-04-20
U003,U039,62.94,55.0,10.0,49.97,0,2025-03-24
U003,U009,2.36,55.0,50.0,27.68,1,2025-04-14
U003,U028,1.55,30.0,10.0,11.77,1,2025-02-13
U003,U051,3.13,45.0,10.0,17.07,0,2025-06-12
U003,U012,37.37,45.0,10.0,34.19,0,2025-04-24
U003,U002,33.24,45.0,10.0,32.12,0,2025-03-25
U003,U066,1.58,30.0,100.0,29.79,0,2025-06-22
U003,U032,7.29,55.0,10.0,22.15,0,2025-07-05
U003,U007,8.62,30.0,100.0,33.31,1,2025-04-15
U003,U034,1.55,100.0,50.0,40.77,0,2025-05-02
U003,U011,5.15,10.0,50.0,15.57,0,2025-04-24
U003,U037,2.04,45.0,10.0,16.52,0,2025-04-05
U003,U052,10.56,30.0,50.0,24.28,1,2025-05-29
U003,U045,3.64,30.0,10.0,12.82,1,2025-02-06
U003,U005,9.43,45.0,50.0,28.22,1,2025-04-30
U003,U008,0.97,55.0,10.0,18.99,1,2025-02-03
U003,U022,2.81,10.0,10.0,6.41,0,2025-06-09
U003,U058,0.97,30.0,10.0,11.49,1,2025-02-20
U003,U036,3.2,30.0,50.0,20.6,1,2025-06-21
U003,U061,35.34,45.0,10.0,33.17,0,2025-03-26
U003,U070,7.79,75.0,10.0,28.39,1,2025-01-16
U003,U021,4.81,45.0,50.0,25.9,1,2025-07-06
U003,U050,0.61,30.0,10.0,11.31,1,2025-04-02
U004,U035,64.07,55.0,10.0,50.53,1,2025-06-03
U004,U025,4.57,10.0,10.0,7.29,0,2025-06-15
U004,U041,4.6,30.0,10.0,13.3,0,2025-04-01
U004,U064,5.9,45.0,10.0,18.45,0,2025-01-19
U004,U008,7.1,55.0,10.0,22.05,1,2025-02-11
U004,U030,6.05,55.0,10.0,21.52,0,2025-07-05
U004,U058,7.1,55.0,10.0,22.05,1,2025-04-05
U004,U002,5.09,45.0,100.0,36.05,1,2025-04-18
U004,U071,2.69,45.0,100.0,34.85,1,2025-04-14
U004,U047,3.66,45.0,50.0,25.33,1,2025-03-03
U004,U006,56.75,30.0,100.0,57.38,1,2025-04-04
U004,U067,59.05,100.0,10.0,61.52,1,2025-07-01
U004,U069,39.92,100.0,10.0,51.96,0,2025-02-10
U004,U056,1.02,45.0,100.0,34.01,1,2025-06-12
U004,U052,18.85,55.0,10.0,27.93,0,2025-02-28
U004,U044,3.4,45.0,10.0,17.2,0,2025-03-07
U004,U063,3.41,100.0,50.0,41.7,1,2025-04-04
U004,U013,0.24,100.0,10.0,32.12,1,2025-06-24
U004,U070,4.1,45.0,10.0,17.55,0,2025-02-08
U004,U043,5.69,45.0,100.0,36.34,0,2025-03-02
U004,U048,6.04,100.0,10.0,35.02,0,2025-02-08
U004,U024,1.5,10.0,50.0,13.75,0,2025-02-07
U004,U023,3.59,45.0,50.0,25.3,0,2025-01-26
U004,U038,3.96,75.0,10.0,26.48,0,2025-03-03
U004,U049,3.71,30.0,10.0,12.85,0,2025-05-04
U004,U031,2.11,100.0,10.0,33.06,1,2025-04-14
U004,U015,3.07,45.0,10.0,17.04,0,2025-04-23
U005,U039,3.52,55.0,10.0,20.26,1,2025-02-22
U005,U017,0.83,30.0,10.0,11.42,0,2025-05-27
U005,U038,63.15,75.0,10.0,56.08,1,2025-04-30
U005,U041,6.12,30.0,10.0,14.06,0,2025-05-02
U005,U030,34.89,55.0,10.0,35.94,1,2025-01-15
U005,U004,2.96,75.0,10.0,25.98,0,2025-03-09
U005,U056,19.38,45.0,10.0,25.19,0,2025-06-08
U005,U034,0.8,30.0,50.0,19.4,0,2025-01-13
U005,U045,5.48,100.0,10.0,34.74,0,2025-06-10
U005,U063,5.28,100.0,10.0,34.64,1,2025-02-09
U005,U059,6.49,100.0,10.0,35.25,0,2025-01-15
U005,U058,3.56,55.0,10.0,20.28,0,2025-03-29
U005,U011,10.05,45.0,50.0,28.53,1,2025-07-07
U005,U032,19.73,65.0,10.0,31.37,1,2025-07-07
U005,U074,2.87,45.0,50.0,24.93,1,2025-05-07
U005,U054,1.03,10.0,50.0,13.52,0,2025-05-02
U005,U021,1.42,45.0,100.0,34.21,0,2025-03-14
U005,U012,0.0,45.0,10.0,15.5,1,2025-04-19
U005,U067,1.55,100.0,50.0,40.78,1,2025-07-06
U005,U069,9.24,100.0,100.0,54.62,1,2025-05-19
U005,U003,9.43,45.0,50.0,28.22,1,2025-03-13
U005,U008,3.56,55.0,10.0,20.28,1,2025-06-01
U005,U066,45.89,55.0,50.0,49.45,1,2025-02-27
U005,U055,1.02,30.0,10.0,11.51,0,2025-03-28
U005,U014,20.03,65.0,10.0,31.51,0,2025-03-26
U005,U002,9.54,45.0,10.0,20.27,0,2025-06-08
U005,U025,38.52,10.0,50.0,32.26,0,2025-03-10
U006,U012,6.23,55.0,50.0,29.61,0,2025-03-24
U006,U065,5.6,100.0,100.0,52.8,1,2025-02-25
U006,U010,5.07,45.0,100.0,36.04,0,2025-04-23
U006,U025,4.81,55.0,10.0,20.9,1,2025-03-10
U006,U022,8.97,30.0,10.0,15.49,1,2025-03-18
U006,U013,39.64,45.0,10.0,35.32,1,2025-04-25
U006,U045,7.89,45.0,50.0,27.44,1,2025-03-01
U006,U046,0.52,55.0,10.0,18.76,0,2025-06-09
U006,U035,56.43,10.0,10.0,33.21,0,2025-04-29
U006,U020,11.85,55.0,10.0,24.42,0,2025-03-13
U006,U057,5.17,30.0,50.0,21.58,0,2025-06-07
U006,U064,6.08,55.0,10.0,21.54,1,2025-07-08
U006,U056,38.28,30.0,100.0,48.14,1,2025-02-03
U006,U017,58.39,75.0,100.0,71.7,1,2025-06-20
U006,U069,5.09,45.0,10.0,18.05,1,2025-07-07
U006,U044,2.0,55.0,10.0,19.5,0,2025-04-07
U006,U021,3.54,55.0,10.0,20.27,0,2025-06-08
U006,U036,4.08,10.0,10.0,7.04,1,2025-04-03
U006,U042,4.46,75.0,50.0,34.73,1,2025-03-13
U006,U014,5.32,45.0,50.0,26.16,0,2025-05-30
U006,U047,4.94,55.0,50.0,28.97,0,2025-03-12
U006,U029,6.65,45.0,10.0,18.82,0,2025-06-26
U006,U032,55.05,45.0,10.0,43.03,0,2025-07-03
U006,U073,5.55,55.0,10.0,21.27,1,2025-05-03
U006,U074,5.98,100.0,10.0,34.99,1,2025-01-17
U006,U011,2.56,30.0,10.0,12.28,1,2025-04-29
U006,U053,53.67,55.0,10.0,45.33,1,2025-02-10
U007,U056,17.23,55.0,10.0,27.12,0,2025-02-03
U007,U023,2.14,65.0,10.0,22.57,0,2025-01-13
U007,U045,26.18,45.0,10.0,28.59,0,2025-03-20
U007,U062,4.92,10.0,10.0,7.46,0,2025-02-19
U007,U040,4.39,30.0,10.0,13.2,0,2025-05-11
U007,U050,2.2,45.0,10.0,16.6,1,2025-02-05
U007,U051,3.55,100.0,10.0,33.77,1,2025-03-03
U007,U018,69.27,45.0,10.0,50.13,0,2025-05-11
U007,U014,19.18,45.0,10.0,25.09,1,2025-04-26
U007,U016,1.29,100.0,50.0,40.65,0,2025-02-04
U007,U065,5.0,55.0,10.0,21.0,1,2025-06-22
U007,U073,3.18,100.0,50.0,41.59,0,2025-03-04
U007,U039,8.22,45.0,10.0,19.61,0,2025-06-08
U007,U042,63.94,10.0,10.0,36.97,1,2025-06-06
U007,U031,27.72,45.0,10.0,29.36,1,2025-04-28
U007,U069,5.75,45.0,50.0,26.37,0,2025-03-23
U007,U029,6.07,45.0,50.0,26.53,1,2025-03-11
U007,U026,4.71,75.0,50.0,34.86,1,2025-02-13
U007,U054,2.0,30.0,100.0,30.0,1,2025-07-07
U007,U010,3.49,45.0,10.0,17.24,1,2025-02-22
U007,U006,2.74,10.0,10.0,6.37,0,2025-03-05
U007,U027,3.98,10.0,10.0,6.99,0,2025-04-02
U007,U059,2.83,45.0,10.0,16.92,0,2025-05-07
U007,U070,2.82,30.0,10.0,12.41,1,2025-04-08
U007,U013,4.77,45.0,10.0,17.88,0,2025-04-28
U007,U028,1.48,45.0,10.0,16.24,0,2025-06-03
U007,U043,28.43,55.0,10.0,32.71,1,2025-05-24
U008,U054,39.61,100.0,10.0,51.81,1,2025-04-07
U008,U058,100.0,45.0,10.0,65.5,0,2025-03-11
U008,U074,32.22,55.0,10.0,34.61,1,2025-03-13
U008,U020,1.13,100.0,50.0,40.57,0,2025-06-11
U008,U047,3.47,55.0,10.0,20.24,1,2025-06-06
U008,U062,4.38,45.0,100.0,35.69,1,2025-03-24
U008,U039,0.96,75.0,100.0,42.98,1,2025-01-12
U008,U006,10.53,45.0,10.0,20.76,1,2025-07-05
U008,U012,4.1,55.0,10.0,20.55,0,2025-03-11
U008,U073,6.65,30.0,10.0,14.33,1,2025-06-03
U008,U056,5.94,30.0,10.0,13.97,1,2025-05-09
U008,U009,3.37,45.0,10.0,17.18,0,2025-04-20
U008,U052,2.06,45.0,10.0,16.53,0,2025-05-12
U008,U066,1.52,45.0,10.0,16.26,0,2025-06-28
U008,U055,37.82,45.0,10.0,34.41,0,2025-05-28
U008,U029,3.57,10.0,10.0,6.79,0,2025-03-22
U008,U001,2.49,45.0,10.0,16.75,0,2025-02-15
U008,U005,3.56,55.0,10.0,20.28,1,2025-03-31
U008,U048,1.55,10.0,10.0,5.78,0,2025-04-12
U008,U011,3.08,30.0,10.0,12.54,1,2025-04-17
U008,U051,4.07,30.0,10.0,13.04,1,2025-01-15
U008,U065,2.07,55.0,10.0,19.54,1,2025-03-09
U008,U042,2.59,45.0,10.0,16.79,0,2025-04-08
U008,U013,8.66,10.0,10.0,9.33,0,2025-06-24
U008,U022,88.57,30.0,50.0,63.29,0,2025-02-09
U008,U068,2.63,45.0,100.0,34.82,0,2025-06-16
U008,U021,18.25,55.0,10.0,27.62,0,2025-03-27
U009,U017,5.83,75.0,10.0,27.42,0,2025-02-25
U009,U005,2.78,30.0,100.0,30.39,0,2025-06-05
U009,U044,64.36,55.0,10.0,50.68,1,2025-05-13
U009,U058,3.37,45.0,10.0,17.18,1,2025-03-14
U009,U008,3.37,45.0,10.0,17.18,1,2025-01-24
U009,U063,1.4,45.0,10.0,16.2,0,2025-07-02
U009,U075,3.31,55.0,10.0,20.15,1,2025-02-05
U009,U052,6.46,10.0,100.0,26.23,1,2025-04-12
U009,U069,59.3,45.0,100.0,63.15,0,2025-05-20
U009,U022,1.84,30.0,10.0,11.92,0,2025-01-26
U009,U053,0.84,55.0,50.0,26.92,0,2025-07-04
U009,U026,29.95,10.0,100.0,37.98,1,2025-04-07
U009,U041,2.48,75.0,10.0,25.74,0,2025-03-22
U009,U049,59.14,65.0,10.0,51.07,1,2025-04-29
U009,U034,1.41,65.0,50.0,30.21,1,2025-02-23
U009,U010,75.79,45.0,10.0,53.4,0,2025-01-20
U009,U073,17.85,55.0,50.0,35.42,1,2025-03-26
U009,U003,2.36,55.0,50.0,27.68,0,2025-04-05
U009,U045,4.28,45.0,10.0,17.64,0,2025-04-16
U009,U050,5.29,45.0,10.0,18.15,0,2025-06-16
U009,U025,3.84,55.0,50.0,28.42,1,2025-04-22
U009,U039,9.55,45.0,10.0,20.28,1,2025-05-11
U009,U002,2.52,55.0,10.0,19.76,1,2025-06-30
U009,U024,0.83,55.0,10.0,18.92,1,2025-05-12
U009,U032,1.25,45.0,10.0,16.12,0,2025-06-18
U009,U020,6.32,55.0,10.0,21.66,0,2025-07-06
U009,U060,60.87,10.0,10.0,35.44,0,2025-01-16
U010,U044,62.89,55.0,10.0,49.94,0,2025-02-18
U010,U001,1.19,45.0,100.0,34.09,1,2025-01-17
U010,U017,6.93,45.0,100.0,36.97,1,2025-06-30
U010,U053,3.27,55.0,10.0,20.14,1,2025-03-19
U010,U055,4.3,45.0,50.0,25.65,1,2025-03-10
U010,U041,2.37,45.0,10.0,16.69,0,2025-04-03
U010,U012,25.93,30.0,50.0,31.97,0,2025-04-08
U010,U035,3.37,45.0,10.0,17.18,1,2025-06-26
U010,U048,26.38,75.0,10.0,37.69,0,2025-02-25
U010,U063,1.88,75.0,50.0,33.44,1,2025-03-30
U010,U065,30.27,30.0,100.0,44.13,0,2025-04-24
U010,U067,4.87,75.0,10.0,26.93,0,2025-01-10
U010,U050,3.87,75.0,10.0,26.44,1,2025-06-23
U010,U002,2.78,30.0,100.0,30.39,1,2025-05-09
U010,U062,32.97,45.0,10.0,31.99,0,2025-05-23
U010,U039,39.24,10.0,10.0,24.62,1,2025-03-28
U010,U028,1.42,45.0,10.0,16.21,0,2025-02-04
U010,U009,75.79,45.0,10.0,53.4,1,2025-03-09
U010,U054,4.04,55.0,10.0,20.52,0,2025-01-21
U010,U032,3.88,45.0,10.0,17.44,0,2025-02-21
U010,U057,24.86,100.0,50.0,52.43,0,2025-02-17
U010,U040,1.5,30.0,100.0,29.75,1,2025-02-16
U010,U043,62.07,30.0,100.0,60.03,1,2025-03-02
U010,U075,3.31,30.0,10.0,12.66,0,2025-01-17
U010,U005,0.0,100.0,10.0,32.0,0,2025-06-15
U010,U021,59.02,30.0,10.0,40.51,1,2025-02-12
U010,U025,3.12,55.0,10.0,20.06,0,2025-06-16
U011,U040,40.29,45.0,10.0,35.64,0,2025-06-14
U011,U058,3.08,55.0,10.0,20.04,1,2025-05-22
U011,U036,3.02,55.0,100.0,38.01,1,2025-01-24
U011,U061,1.99,45.0,10.0,16.5,0,2025-04-27
U011,U031,2.32,65.0,10.0,22.66,1,2025-03-30
U011,U057,5.18,45.0,10.0,18.09,0,2025-02-14
U011,U033,1.31,45.0,10.0,16.16,1,2025-05-30
U011,U030,10.25,30.0,10.0,16.13,1,2025-05-06
U011,U073,5.88,45.0,100.0,36.44,0,2025-06-14
U011,U064,5.83,45.0,50.0,26.41,1,2025-06-16
U011,U010,1.14,65.0,10.0,22.07,0,2025-04-09
U011,U037,25.14,45.0,10.0,28.07,0,2025-02-17
U011,U021,6.36,45.0,50.0,26.68,1,2025-06-28
U011,U003,5.15,10.0,50.0,15.57,1,2025-05-07
U011,U065,4.36,45.0,10.0,17.68,1,2025-07-01
U011,U075,5.54,10.0,10.0,7.77,1,2025-06-08
U011,U046,51.91,45.0,10.0,41.45,1,2025-02-04
U011,U056,1.95,75.0,10.0,25.48,1,2025-05-10
U011,U059,23.5,65.0,10.0,33.25,1,2025-06-12
U011,U013,1.11,65.0,10.0,22.06,0,2025-04-19
U011,U028,9.03,55.0,10.0,23.01,1,2025-06-22
U011,U016,7.08,45.0,50.0,27.04,0,2025-07-03
U011,U022,13.44,75.0,10.0,31.22,0,2025-05-08
U011,U007,6.25,55.0,50.0,29.63,1,2025-06-01
U011,U023,6.71,45.0,10.0,18.85,1,2025-05-27
U011,U025,2.26,45.0,100.0,34.63,0,2025-06-11
U011,U068,41.04,30.0,10.0,31.52,0,2025-06-04
U012,U030,1.13,55.0,10.0,19.07,1,2025-06-08
U012,U057,26.32,45.0,50.0,36.66,0,2025-01-25
U012,U065,29.91,45.0,50.0,38.45,1,2025-05-31
U012,U019,4.04,30.0,50.0,21.02,1,2025-03-16
U012,U015,5.54,45.0,10.0,18.27,0,2025-03-25
U012,U026,2.27,30.0,10.0,12.13,0,2025-03-05
U012,U064,64.99,75.0,10.0,57.0,1,2025-04-05
U012,U044,0.82,45.0,10.0,15.91,0,2025-02-27
U012,U011,2.18,45.0,10.0,16.59,0,2025-06-16
U012,U007,4.44,30.0,10.0,13.22,0,2025-03-30
U012,U031,2.1,30.0,10.0,12.05,1,2025-06-07
U012,U029,35.13,30.0,10.0,28.57,0,2025-01-29
U012,U027,1.87,55.0,10.0,19.43,0,2025-02-03
U012,U032,6.52,30.0,10.0,14.26,0,2025-03-15
U012,U001,0.22,30.0,50.0,19.11,0,2025-07-08
U012,U072,27.15,30.0,50.0,32.57,0,2025-05-30
U012,U069,0.63,30.0,10.0,11.31,0,2025-02-03
U012,U010,25.93,30.0,50.0,31.97,1,2025-02-10
U012,U017,5.94,55.0,50.0,29.47,0,2025-03-10
U012,U016,7.18,45.0,10.0,19.09,1,2025-05-19
U012,U050,65.94,30.0,10.0,43.97,1,2025-06-20
U012,U048,27.93,30.0,10.0,24.97,1,2025-07-06
U012,U051,65.55,45.0,100.0,66.28,1,2025-04-18
U012,U013,1.12,30.0,10.0,11.56,0,2025-05-04
U012,U071,1.86,45.0,50.0,24.43,1,2025-01-13
U012,U062,29.43,55.0,10.0,33.22,0,2025-04-22
U012,U021,2.68,75.0,10.0,25.84,0,2025-06-24
U013,U047,2.81,30.0,10.0,12.4,0,2025-03-19
U013,U023,3.29,55.0,10.0,20.14,0,2025-03-27
U013,U069,1.02,75.0,10.0,25.01,0,2025-04-28
U013,U060,1.3,45.0,10.0,16.15,1,2025-05-22
U013,U042,5.15,45.0,10.0,18.07,1,2025-04-29
U013,U045,6.94,75.0,10.0,27.97,0,2025-05-24
U013,U003,11.34,30.0,10.0,16.67,1,2025-01-14
U013,U029,0.3,75.0,10.0,24.65,0,2025-03-14
U013,U020,9.22,55.0,10.0,23.11,1,2025-03-31
U013,U071,6.12,55.0,10.0,21.56,0,2025-07-06
U013,U041,6.85,45.0,10.0,18.92,0,2025-03-28
U013,U062,5.52,45.0,10.0,18.26,1,2025-05-03
U013,U008,8.66,10.0,10.0,9.33,1,2025-01-11
U013,U012,1.12,30.0,10.0,11.56,0,2025-06-02
U013,U026,5.46,45.0,10.0,18.23,1,2025-06-26
U013,U021,2.55,30.0,10.0,12.28,0,2025-03-09
U013,U034,36.89,45.0,10.0,33.94,0,2025-01-31
U013,U031,0.74,75.0,10.0,24.87,1,2025-02-10
U013,U017,1.56,45.0,10.0,16.28,0,2025-05-11
U013,U066,4.93,45.0,10.0,17.97,1,2025-07-03
U013,U054,4.46,55.0,10.0,20.73,1,2025-05-15
U013,U057,4.31,100.0,10.0,34.16,1,2025-06-09
U013,U061,19.94,55.0,10.0,28.47,1,2025-06-08
U013,U025,37.09,55.0,10.0,37.04,1,2025-01-22
U013,U073,36.83,55.0,10.0,36.91,0,2025-07-08
U013,U009,0.23,45.0,10.0,15.61,0,2025-04-07
U013,U043,2.1,30.0,10.0,12.05,0,2025-04-16
U014,U063,3.31,45.0,100.0,35.16,0,2025-03-30
U014,U056,68.3,100.0,50.0,74.15,1,2025-02-02
U014,U039,42.43,45.0,10.0,36.71,1,2025-03-10
U014,U055,4.7,10.0,100.0,25.35,1,2025-06-08
U014,U054,2.01,30.0,10.0,12.0,0,2025-05-06
U014,U038,5.28,65.0,10.0,24.14,1,2025-04-13
U014,U060,4.33,45.0,10.0,17.67,1,2025-03-13
U014,U053,4.87,30.0,10.0,13.43,0,2025-02-25
U014,U048,29.87,45.0,10.0,30.43,1,2025-06-19
U014,U072,81.05,45.0,100.0,74.03,1,2025-02-25
U014,U050,1.23,45.0,10.0,16.12,0,2025-03-25
U014,U032,19.86,75.0,10.0,34.43,1,2025-03-11
U014,U007,19.18,45.0,10.0,25.09,1,2025-05-02
U014,U065,87.14,30.0,50.0,62.57,1,2025-04-28
U014,U058,1.97,45.0,10.0,16.48,1,2025-02-24
U014,U019,7.18,45.0,100.0,37.09,1,2025-02-27
U014,U029,38.28,45.0,10.0,34.64,1,2025-03-20
U014,U052,52.05,45.0,10.0,41.53,0,2025-06-21
U014,U061,27.0,30.0,100.0,42.5,1,2025-02-19
U014,U051,1.77,55.0,50.0,27.38,1,2025-03-07
U014,U034,2.62,10.0,10.0,6.31,0,2025-06-16
U014,U046,6.99,55.0,10.0,22.0,1,2025-05-24
U014,U016,3.4,55.0,10.0,20.2,0,2025-05-27
U014,U067,4.87,45.0,10.0,17.93,1,2025-03-20
U014,U062,85.75,45.0,10.0,58.37,0,2025-04-26
U014,U071,52.87,55.0,50.0,52.93,1,2025-01-30
U014,U025,2.09,30.0,10.0,12.04,0,2025-03-20
U015,U009,2.69,55.0,10.0,19.85,0,2025-05-09
U015,U067,42.38,55.0,10.0,39.69,0,2025-04-11
U015,U068,6.0,55.0,50.0,29.5,1,2025-03-08
U015,U060,32.99,100.0,100.0,66.5,1,2025-05-20
U015,U048,3.6,55.0,10.0,20.3,0,2025-01-15
U015,U031,2.28,55.0,50.0,27.64,0,2025-07-06
U015,U074,3.77,10.0,10.0,6.88,0,2025-01-21
U015,U032,2.54,55.0,10.0,19.77,0,2025-02-19
U015,U044,2.9,75.0,10.0,25.95,1,2025-05-26
U015,U013,3.75,55.0,10.0,20.37,0,2025-02-20
U015,U061,6.83,45.0,10.0,18.92,1,2025-03-30
U015,U056,2.85,45.0,10.0,16.93,0,2025-04-26
U015,U011,5.13,45.0,10.0,18.06,0,2025-01-17
U015,U063,3.46,55.0,10.0,20.23,0,2025-04-20
U015,U037,8.94,75.0,10.0,28.97,0,2025-01-28
U015,U008,3.62,30.0,50.0,20.81,1,2025-01-25
U015,U073,6.34,75.0,10.0,27.67,0,2025-01-30
U015,U051,53.08,75.0,10.0,51.04,0,2025-03-09
U015,U046,6.31,75.0,50.0,35.66,0,2025-05-20
U015,U055,45.29,30.0,10.0,33.64,0,2025-06-12
U015,U040,6.5,45.0,10.0,18.75,1,2025-01-18
U015,U028,9.15,65.0,50.0,34.07,1,2025-03-10
U015,U065,2.62,10.0,10.0,6.31,0,2025-04-27
U015,U075,2.62,45.0,10.0,16.81,1,2025-05-20
U015,U030,6.48,30.0,50.0,22.24,1,2025-01-30
U015,U053,6.91,45.0,10.0,18.96,1,2025-02-19
U015,U017,3.93,55.0,10.0,20.47,0,2025-02-01
U016,U064,7.64,45.0,50.0,27.32,0,2025-03-13
U016,U005,1.63,45.0,100.0,34.31,0,2025-01-28
U016,U058,7.91,65.0,10.0,25.45,1,2025-03-11
U016,U068,4.24,55.0,10.0,20.62,1,2025-03-14
U016,U030,4.68,30.0,10.0,13.34,1,2025-03-03
U016,U044,2.2,75.0,10.0,25.6,0,2025-02-19
U016,U038,1.63,45.0,10.0,16.32,0,2025-01-11
U016,U072,3.25,55.0,10.0,20.12,1,2025-05-09
U016,U033,4.34,45.0,10.0,17.67,0,2025-07-04
U016,U066,2.2,65.0,50.0,30.6,0,2025-02-28
U016,U050,9.45,55.0,10.0,23.23,1,2025-01-29
U016,U007,1.29,100.0,50.0,40.65,1,2025-05-26
U016,U027,3.2,55.0,10.0,20.1,1,2025-03-15
U016,U010,4.08,55.0,10.0,20.54,1,2025-03-26
U016,U059,52.1,55.0,10.0,44.55,0,2025-04-24
U016,U045,4.23,55.0,10.0,20.62,1,2025-01-30
U016,U075,1.03,45.0,10.0,16.02,0,2025-07-07
U016,U043,0.95,10.0,10.0,5.47,1,2025-01-13
U016,U052,1.19,100.0,100.0,50.6,0,2025-06-20
U016,U020,2.81,45.0,10.0,16.91,1,2025-06-24
U016,U054,8.36,45.0,50.0,27.68,1,2025-03-11
U016,U065,3.58,10.0,10.0,6.79,0,2025-05-13
U016,U051,8.56,75.0,10.0,28.78,1,2025-04-18
U016,U053,90.2,45.0,50.0,68.6,1,2025-04-03
U016,U031,1.89,55.0,10.0,19.45,1,2025-02-24
U016,U067,63.52,55.0,50.0,58.26,1,2025-05-13
U016,U046,0.53,75.0,10.0,24.77,0,2025-07-05
U017,U073,8.3,55.0,10.0,22.65,0,2025-04-03
U017,U025,42.03,55.0,10.0,39.52,0,2025-06-24
U017,U069,8.75,45.0,10.0,19.87,1,2025-03-31
U017,U023,6.03,30.0,50.0,22.02,1,2025-03-15
U017,U006,58.39,75.0,100.0,71.7,1,2025-03-12
U017,U058,35.31,45.0,10.0,33.16,1,2025-06-10
U017,U039,5.58,45.0,10.0,18.29,0,2025-06-04
U017,U044,1.93,55.0,10.0,19.47,1,2025-05-11
U017,U003,4.36,55.0,10.0,20.68,0,2025-06-14
U017,U014,4.03,45.0,50.0,25.52,1,2025-04-23
U017,U010,6.93,45.0,100.0,36.97,1,2025-03-07
U017,U016,60.87,55.0,10.0,48.93,1,2025-06-25
U017,U057,3.64,30.0,50.0,20.82,0,2025-06-23
U017,U036,4.37,10.0,10.0,7.18,1,2025-06-15
U017,U007,1.31,10.0,10.0,5.65,0,2025-06-29
U017,U074,37.37,100.0,10.0,50.68,1,2025-02-27
